SORA Value Date,,,SORA Publication Date,SORA,SORA Index
,,30,01 Oct 2015,0.2158,0.9661594059
,Oct,1,02 Oct 2015,0.1573,0.9661635696
,,2,05 Oct 2015,0.3206,0.9661890287
,,5,06 Oct 2015,0.2704,0.9661961864
,,6,07 Oct 2015,0.2789,0.9662035692
,,7,08 Oct 2015,0.1463,0.966207442
,,8,09 Oct 2015,0.0645,0.9662091494
,,9,12 Oct 2015,0.0301,0.9662115398
,,12,13 Oct 2015,0.0407,0.9662126172
,,13,14 Oct 2015,0.027,0.9662133319
,,14,15 Oct 2015,0.0338,0.9662142266
,,15,16 Oct 2015,0.0571,0.9662157382
,,16,19 Oct 2015,0.2107,0.9662324709
,,19,20 Oct 2015,0.2296,0.9662385489
,,20,21 Oct 2015,0.1067,0.9662413735
,,21,22 Oct 2015,0.1595,0.9662455958
,,22,23 Oct 2015,0.3093,0.9662537838
,,23,26 Oct 2015,0.5614,0.9662983691
,,26,27 Oct 2015,0.3848,0.9663085563
,,27,28 Oct 2015,0.3994,0.9663191301
,,28,29 Oct 2015,0.6862,0.9663372969
,,29,30 Oct 2015,0.809,0.9663587151
,,30,02 Nov 2015,1.0026,0.9664383484
,Nov,2,03 Nov 2015,0.7076,0.9664570841
,,3,04 Nov 2015,0.2755,0.9664643788
,,4,05 Nov 2015,0.1229,0.966467633
,,5,06 Nov 2015,0.2372,0.9664739137
,,6,09 Nov 2015,0.16,0.9664866235
,,9,11 Nov 2015,0.2111,0.966497803
,,11,12 Nov 2015,0.0758,0.9664998101
,,12,13 Nov 2015,0.2109,0.9665053947
,,13,16 Nov 2015,0.6254,0.9665550757
,,16,17 Nov 2015,0.6204,0.9665715045
,,17,18 Nov 2015,0.5701,0.9665866015
,,18,19 Nov 2015,0.4563,0.9665986852
,,19,20 Nov 2015,0.2024,0.9666040452
,,20,23 Nov 2015,0.3069,0.9666284274
,,23,24 Nov 2015,0.4644,0.9666407261
,,24,25 Nov 2015,0.7355,0.9666602046
,,25,26 Nov 2015,0.3878,0.966670475
,,26,27 Nov 2015,0.4032,0.9666811534
,,27,30 Nov 2015,0.6995,0.966736731
,,30,01 Dec 2015,0.6487,0.9667539124
,Dec,1,02 Dec 2015,0.4087,0.9667647374
,,2,03 Dec 2015,0.4295,0.9667761134
,,3,04 Dec 2015,0.2785,0.9667834901
,,4,07 Dec 2015,0.2963,0.9668070345
,,7,08 Dec 2015,0.228,0.9668130738
,,8,09 Dec 2015,0.2643,0.9668200746
,,9,10 Dec 2015,0.2058,0.9668255258
,,10,11 Dec 2015,0.1305,0.9668289826
,,11,14 Dec 2015,0.2475,0.9668486503
,,14,15 Dec 2015,0.248,0.9668552195
,,15,16 Dec 2015,0.2907,0.9668629199
,,16,17 Dec 2015,0.36,0.9668724561
,,17,18 Dec 2015,0.3339,0.966881301
,,18,21 Dec 2015,0.1877,0.9668962175
,,21,22 Dec 2015,0.1435,0.9669000188
,,22,23 Dec 2015,0.1908,0.9669050732
,,23,24 Dec 2015,0.2532,0.9669117806
,,24,28 Dec 2015,0.1939,0.9669323268
,,28,29 Dec 2015,0.3021,0.9669403299
,,29,30 Dec 2015,0.2059,0.9669457845
,,30,31 Dec 2015,0.2688,0.9669529054
,,31,04 Jan 2016,0.7159,0.9670287675
,,,,,
,,,,,
SORA Value Date,,,SORA Publication Date,SORA,SORA Index
2016,Jan,4,05 Jan 2016,0.415,0.9670397625
,,5,06 Jan 2016,0.2071,0.9670452494
,,6,07 Jan 2016,0.4788,0.967057935
,,7,08 Jan 2016,0.6187,0.9670743273
,,8,11 Jan 2016,0.66,0.9671267877
,,11,12 Jan 2016,0.9215,0.9671512044
,,12,13 Jan 2016,0.6327,0.9671679692
,,13,14 Jan 2016,0.54,0.967182278
,,14,15 Jan 2016,0.181,0.9671870742
,,15,18 Jan 2016,0.1571,0.9671995628
,,18,19 Jan 2016,0.3344,0.9672084239
,,19,20 Jan 2016,0.2782,0.9672157959
,,20,21 Jan 2016,0.2574,0.9672226168
,,21,22 Jan 2016,0.1234,0.9672258868
,,22,25 Jan 2016,0.1559,0.9672382805
,,25,26 Jan 2016,0.1477,0.9672421945
,,26,27 Jan 2016,0.1594,0.9672464186
,,27,28 Jan 2016,0.1371,0.9672500517
,,28,29 Jan 2016,0.1949,0.9672552166
,,29,01 Feb 2016,0.1954,0.967270751
,Feb,1,02 Feb 2016,0.1572,0.9672749168
,,2,03 Feb 2016,0.2748,0.9672821992
,,3,04 Feb 2016,0.2359,0.9672884508
,,4,05 Feb 2016,0.264,0.9672954471
,,5,10 Feb 2016,0.3061,0.9673360072
,,10,11 Feb 2016,0.146,0.9673398766
,,11,12 Feb 2016,0.0879,0.9673422061
,,12,15 Feb 2016,0.1689,0.967355635
,,15,16 Feb 2016,0.1309,0.9673591042
,,16,17 Feb 2016,0.2218,0.9673649826
,,17,18 Feb 2016,0.353,0.9673743382
,,18,19 Feb 2016,0.3423,0.9673834103
,,19,22 Feb 2016,0.2776,0.9674054825
,,22,23 Feb 2016,0.3736,0.9674153845
,,23,24 Feb 2016,0.3094,0.967423585
,,24,25 Feb 2016,0.3774,0.9674335879
,,25,26 Feb 2016,0.3362,0.9674424989
,,26,29 Feb 2016,0.3476,0.9674701386
,,29,01 Mar 2016,0.5059,0.967483548
,Mar,1,02 Mar 2016,0.4915,0.9674965759
,,2,03 Mar 2016,0.4329,0.9675080507
,,3,04 Mar 2016,0.415,0.9675190511
,,4,07 Mar 2016,0.2754,0.9675409515
,,7,08 Mar 2016,0.2912,0.9675486706
,,8,09 Mar 2016,0.3696,0.9675584681
,,9,10 Mar 2016,0.2949,0.9675662854
,,10,11 Mar 2016,0.3274,0.9675749643
,,11,14 Mar 2016,0.3,0.9675988223
,,14,15 Mar 2016,0.2973,0.9676067036
,,15,16 Mar 2016,0.2826,0.9676141953
,,16,17 Mar 2016,0.2754,0.9676214961
,,17,18 Mar 2016,0.1751,0.9676261381
,,18,21 Mar 2016,0.233,0.9676446688
,,21,22 Mar 2016,0.2849,0.9676522217
,,22,23 Mar 2016,0.2591,0.9676590907
,,23,24 Mar 2016,0.2309,0.9676652122
,,24,28 Mar 2016,0.2752,0.9676943959
,,28,29 Mar 2016,0.3018,0.9677023973
,,29,30 Mar 2016,0.1692,0.9677068831
,,30,31 Mar 2016,0.1035,0.9677096272
,,31,01 Apr 2016,0.1332,0.9677131587
,Apr,1,04 Apr 2016,0.2503,0.967733067
,,4,05 Apr 2016,0.2835,0.9677405836
,,5,06 Apr 2016,0.2968,0.9677484527
,,6,07 Apr 2016,0.2105,0.9677540339
,,7,08 Apr 2016,0.2044,0.9677594533
,,8,11 Apr 2016,0.1936,0.9677748526
,,11,12 Apr 2016,0.2105,0.9677804339
,,12,13 Apr 2016,0.1244,0.9677837323
,,13,14 Apr 2016,0.1451,0.9677875796
,,14,15 Apr 2016,0.3209,0.9677960881
,,15,18 Apr 2016,0.3666,0.9678252493
,,18,19 Apr 2016,0.2637,0.9678322415
,,19,20 Apr 2016,0.3029,0.9678402732
,,20,21 Apr 2016,0.354,0.9678496599
,,21,22 Apr 2016,0.4835,0.9678624806
,,22,25 Apr 2016,0.6771,0.9679163441
,,25,26 Apr 2016,0.5986,0.967932218
,,26,27 Apr 2016,0.6649,0.9679498502
,,27,28 Apr 2016,0.6359,0.9679667138
,,28,29 Apr 2016,0.3292,0.967975444
,,29,03 May 2016,0.4125,0.9680192018
,May,3,04 May 2016,0.506,0.9680326215
,,4,05 May 2016,0.2011,0.968037955
,,5,06 May 2016,0.1426,0.9680417369
,,6,09 May 2016,0.2989,0.9680655189
,,9,10 May 2016,0.2913,0.9680732449
,,10,11 May 2016,0.1364,0.9680768626
,,11,12 May 2016,0.0599,0.9680784513
,,12,13 May 2016,0.1049,0.9680812335
,,13,16 May 2016,0.095,0.9680887925
,,16,17 May 2016,0.0765,0.9680908215
,,17,18 May 2016,0.0805,0.9680929566
,,18,19 May 2016,0.1209,0.9680961633
,,19,20 May 2016,0.1827,0.968101009
,,20,23 May 2016,0.1496,0.9681129127
,,23,24 May 2016,0.2659,0.9681199653
,,24,25 May 2016,0.2268,0.9681259809
,,25,26 May 2016,0.329,0.9681347073
,,26,27 May 2016,0.2552,0.9681414763
,,27,30 May 2016,0.229,0.9681596986
,,30,31 May 2016,0.3567,0.96816916
,,31,01 Jun 2016,0.2297,0.9681752529
,Jun,1,02 Jun 2016,0.2393,0.9681816004
,,2,03 Jun 2016,0.1044,0.9681843697
,,3,06 Jun 2016,0.1153,0.9681935449
,,6,07 Jun 2016,0.1614,0.9681978261
,,7,08 Jun 2016,0.0581,0.9681993673
,,8,09 Jun 2016,0.0565,0.968200866
,,9,10 Jun 2016,0.0574,0.9682023886
,,10,13 Jun 2016,0.1128,0.968211365
,,13,14 Jun 2016,0.0921,0.9682138081
,,14,15 Jun 2016,0.051,0.968215161
,,15,16 Jun 2016,0.0414,0.9682162592
,,16,17 Jun 2016,0.0727,0.9682181876
,,17,20 Jun 2016,0.0741,0.9682240845
,,20,21 Jun 2016,0.0774,0.9682261376
,,21,22 Jun 2016,0.0626,0.9682277982
,,22,23 Jun 2016,0.0416,0.9682289017
,,23,24 Jun 2016,0.043,0.9682300424
,,24,27 Jun 2016,0.0825,0.9682366078
,,27,28 Jun 2016,0.0846,0.968238852
,,28,29 Jun 2016,0.0831,0.9682410564
,,29,30 Jun 2016,0.1845,0.9682459506
,,30,01 Jul 2016,0.4412,0.9682576545
,Jul,1,04 Jul 2016,0.1478,0.9682694168
,,4,05 Jul 2016,0.1342,0.9682729769
,,5,07 Jul 2016,0.109,0.96827876
,,7,08 Jul 2016,0.0847,0.9682810069
,,8,11 Jul 2016,0.0717,0.9682867131
,,11,12 Jul 2016,0.0566,0.9682882146
,,12,13 Jul 2016,0.064,0.9682899125
,,13,14 Jul 2016,0.0563,0.968291406
,,14,15 Jul 2016,0.075,0.9682933957
,,15,18 Jul 2016,0.1187,0.9683028425
,,18,19 Jul 2016,0.0727,0.9683047711
,,19,20 Jul 2016,0.0557,0.9683062488
,,20,21 Jul 2016,0.1572,0.9683104191
,,21,22 Jul 2016,0.4879,0.9683233627
,,22,25 Jul 2016,0.3511,0.9683513061
,,25,26 Jul 2016,0.6345,0.9683681395
,,26,27 Jul 2016,0.7764,0.9683887379
,,27,28 Jul 2016,0.8879,0.9684122949
,,28,29 Jul 2016,0.7445,0.9684320479
,,29,01 Aug 2016,0.3713,0.9684616023
,Aug,1,02 Aug 2016,0.1956,0.9684667922
,,2,03 Aug 2016,0.0725,0.9684687159
,,3,04 Aug 2016,0.0223,0.9684693076
,,4,05 Aug 2016,0.0241,0.968469947
,,5,08 Aug 2016,0.0135,0.9684710216
,,8,10 Aug 2016,0.0134,0.9684717327
,,10,11 Aug 2016,0.0173,0.9684721917
,,11,12 Aug 2016,0.0178,0.968472664
,,12,15 Aug 2016,0.021,0.9684743356
,,15,16 Aug 2016,0.0486,0.9684756252
,,16,17 Aug 2016,0.0696,0.9684774719
,,17,18 Aug 2016,0.1219,0.9684807064
,,18,19 Aug 2016,0.1091,0.9684836012
,,19,22 Aug 2016,0.0737,0.9684894678
,,22,23 Aug 2016,0.0612,0.9684910917
,,23,24 Aug 2016,0.0743,0.9684930632
,,24,25 Aug 2016,0.0402,0.9684941298
,,25,26 Aug 2016,0.0876,0.9684964542
,,26,29 Aug 2016,0.1857,0.9685112364
,,29,30 Aug 2016,0.3628,0.9685208631
,,30,31 Aug 2016,0.1422,0.9685246364
,,31,01 Sep 2016,0.3781,0.9685346692
,Sep,1,02 Sep 2016,0.0919,0.9685371078
,,2,05 Sep 2016,0.0808,0.96854354
,,5,06 Sep 2016,0.0855,0.9685458087
,,6,07 Sep 2016,0.0467,0.968547048
,,7,08 Sep 2016,0.0294,0.9685478281
,,8,09 Sep 2016,0.0184,0.9685483164
,,9,13 Sep 2016,0.0282,0.9685513096
,,13,14 Sep 2016,0.041,0.9685523975
,,14,15 Sep 2016,0.0721,0.9685543108
,,15,16 Sep 2016,0.0343,0.9685552209
,,16,19 Sep 2016,0.0495,0.9685591615
,,19,20 Sep 2016,0.0477,0.9685604272
,,20,21 Sep 2016,0.0441,0.9685615975
,,21,22 Sep 2016,0.0439,0.9685627624
,,22,23 Sep 2016,0.0476,0.9685640255
,,23,26 Sep 2016,0.0532,0.9685682607
,,26,27 Sep 2016,0.0705,0.9685701315
,,27,28 Sep 2016,0.0743,0.9685721031
,,28,29 Sep 2016,0.1344,0.9685756696
,,29,30 Sep 2016,0.1821,0.9685805018
,,30,03 Oct 2016,0.1248,0.9685904371
,Oct,3,04 Oct 2016,0.0488,0.9685917321
,,4,05 Oct 2016,0.0369,0.9685927113
,,5,06 Oct 2016,0.0452,0.9685939107
,,6,07 Oct 2016,0.0621,0.9685955587
,,7,10 Oct 2016,0.1203,0.9686051358
,,10,11 Oct 2016,0.0811,0.968607288
,,11,12 Oct 2016,0.1175,0.9686104061
,,12,13 Oct 2016,0.1134,0.9686134154
,,13,14 Oct 2016,0.038,0.9686144239
,,14,17 Oct 2016,0.0842,0.9686211272
,,17,18 Oct 2016,0.0289,0.9686218941
,,18,19 Oct 2016,0.0305,0.9686227035
,,19,20 Oct 2016,0.0475,0.9686239641
,,20,21 Oct 2016,0.0586,0.9686255192
,,21,24 Oct 2016,0.1608,0.968638321
,,24,25 Oct 2016,0.1838,0.9686431986
,,25,26 Oct 2016,0.0858,0.9686454756
,,26,27 Oct 2016,0.0658,0.9686472218
,,27,28 Oct 2016,0.0655,0.9686489601
,,28,31 Oct 2016,0.0964,0.968656635
,,31,01 Nov 2016,0.0731,0.9686585749
,Nov,1,02 Nov 2016,0.0734,0.9686605229
,,2,03 Nov 2016,0.0796,0.9686626354
,,3,04 Nov 2016,0.0413,0.9686637314
,,4,07 Nov 2016,0.0768,0.9686698459
,,7,08 Nov 2016,0.055,0.9686713056
,,8,09 Nov 2016,0.0802,0.968673434
,,9,10 Nov 2016,0.0833,0.9686756447
,,10,11 Nov 2016,0.0815,0.9686778076
,,11,14 Nov 2016,0.0384,0.9686808649
,,14,15 Nov 2016,0.0969,0.9686834366
,,15,16 Nov 2016,0.0761,0.9686854562
,,16,17 Nov 2016,0.0781,0.9686875289
,,17,18 Nov 2016,0.0494,0.96868884
,,18,21 Nov 2016,0.0495,0.9686927811
,,21,22 Nov 2016,0.1094,0.9686956845
,,22,23 Nov 2016,0.0849,0.9686979377
,,23,24 Nov 2016,0.0742,0.968699907
,,24,25 Nov 2016,0.07,0.9687017647
,,25,28 Nov 2016,0.3243,0.9687275853
,,28,29 Nov 2016,0.1918,0.9687326758
,,29,30 Nov 2016,0.2422,0.9687391039
,,30,01 Dec 2016,0.0649,0.9687408264
,Dec,1,02 Dec 2016,0.0459,0.9687420446
,,2,05 Dec 2016,0.0498,0.9687460098
,,5,06 Dec 2016,0.0963,0.9687485657
,,6,07 Dec 2016,0.1152,0.9687516233
,,7,08 Dec 2016,0.0639,0.9687533192
,,8,09 Dec 2016,0.1106,0.9687562547
,,9,12 Dec 2016,0.1152,0.9687654273
,,12,13 Dec 2016,0.1602,0.9687696793
,,13,14 Dec 2016,0.3858,0.9687799191
,,14,15 Dec 2016,0.3725,0.9687898059
,,15,16 Dec 2016,0.3876,0.9688000937
,,16,19 Dec 2016,0.248,0.9688198413
,,19,20 Dec 2016,0.3729,0.9688297392
,,20,21 Dec 2016,0.2941,0.9688375455
,,21,22 Dec 2016,0.2255,0.9688435311
,,22,23 Dec 2016,0.109,0.9688464244
,,23,27 Dec 2016,0.2062,0.9688683176
,,27,28 Dec 2016,0.2848,0.9688758775
,,28,29 Dec 2016,0.4048,0.9688866227
,,29,30 Dec 2016,0.4114,0.9688975432
,,30,03 Jan 2017,0.4595,0.9689463332
,,,,,
,,,,,
SORA Value Date,,,SORA Publication Date,SORA,SORA Index
2017,Jan,3,04 Jan 2017,0.2354,0.9689525822
,,4,05 Jan 2017,0.1257,0.9689559192
,,5,06 Jan 2017,0.104,0.96895868
,,6,09 Jan 2017,0.1122,0.9689676157
,,9,10 Jan 2017,0.0523,0.9689690041
,,10,11 Jan 2017,0.0301,0.9689698032
,,11,12 Jan 2017,0.0378,0.9689708066
,,12,13 Jan 2017,0.0555,0.96897228
,,13,16 Jan 2017,0.1292,0.9689825697
,,16,17 Jan 2017,0.1119,0.9689855404
,,17,18 Jan 2017,0.1605,0.9689898012
,,18,19 Jan 2017,0.1319,0.9689933029
,,19,20 Jan 2017,0.0983,0.9689959125
,,20,23 Jan 2017,0.0598,0.9690006752
,,23,24 Jan 2017,0.0799,0.9690027964
,,24,25 Jan 2017,0.0865,0.9690050928
,,25,26 Jan 2017,0.0685,0.9690069113
,,26,27 Jan 2017,0.1849,0.9690118201
,,27,31 Jan 2017,0.5198,0.9690670192
,,31,01 Feb 2017,0.1388,0.9690707043
,Feb,1,02 Feb 2017,0.1208,0.9690739116
,,2,03 Feb 2017,0.2009,0.9690792455
,,3,06 Feb 2017,0.4127,0.9691121172
,,6,07 Feb 2017,0.3364,0.9691210489
,,7,08 Feb 2017,0.1171,0.9691241581
,,8,09 Feb 2017,0.1515,0.9691281806
,,9,10 Feb 2017,0.338,0.969137155
,,10,13 Feb 2017,0.5471,0.9691807343
,,13,14 Feb 2017,0.6944,0.9691991726
,,14,15 Feb 2017,0.3852,0.969209401
,,15,16 Feb 2017,0.1524,0.9692134478
,,16,17 Feb 2017,0.0975,0.9692160368
,,17,20 Feb 2017,0.1687,0.9692294757
,,20,21 Feb 2017,0.156,0.9692336182
,,21,22 Feb 2017,0.5143,0.9692472751
,,22,23 Feb 2017,0.6109,0.9692634973
,,23,24 Feb 2017,0.5746,0.9692787559
,,24,27 Feb 2017,0.2226,0.9692964898
,,27,28 Feb 2017,0.3106,0.9693047381
,,28,01 Mar 2017,0.4731,0.9693173018
,Mar,1,02 Mar 2017,0.305,0.9693254016
,,2,03 Mar 2017,0.1629,0.9693297277
,,3,06 Mar 2017,0.183,0.9693443075
,,6,07 Mar 2017,0.2365,0.9693505883
,,7,08 Mar 2017,0.1343,0.969354155
,,8,09 Mar 2017,0.0555,0.969355629
,,9,10 Mar 2017,0.1194,0.9693588
,,10,13 Mar 2017,0.1532,0.9693710059
,,13,14 Mar 2017,0.1035,0.9693737547
,,14,15 Mar 2017,0.1423,0.9693775339
,,15,16 Mar 2017,0.1113,0.9693804898
,,16,17 Mar 2017,0.3634,0.9693901411
,,17,20 Mar 2017,0.4885,0.9694290628
,,20,21 Mar 2017,0.6229,0.9694456069
,,21,22 Mar 2017,0.343,0.969454717
,,22,23 Mar 2017,0.3168,0.9694631313
,,23,24 Mar 2017,0.1248,0.9694664461
,,24,27 Mar 2017,0.2633,0.9694874264
,,27,28 Mar 2017,0.2306,0.9694935515
,,28,29 Mar 2017,0.195,0.9694987309
,,29,30 Mar 2017,0.4827,0.9695115522
,,30,31 Mar 2017,0.4343,0.9695230881
,,31,03 Apr 2017,0.5687,0.969568406
,Apr,3,04 Apr 2017,0.6962,0.9695868995
,,4,05 Apr 2017,0.3758,0.9695968823
,,5,06 Apr 2017,0.3076,0.9696050534
,,6,07 Apr 2017,0.2147,0.9696107568
,,7,10 Apr 2017,0.1849,0.9696254923
,,10,11 Apr 2017,0.2675,0.9696325984
,,11,12 Apr 2017,0.3735,0.9696425206
,,12,13 Apr 2017,0.4849,0.9696554022
,,13,17 Apr 2017,0.7076,0.9697305943
,,17,18 Apr 2017,0.4296,0.9697420079
,,18,19 Apr 2017,0.3628,0.9697516469
,,19,20 Apr 2017,0.247,0.9697582093
,,20,21 Apr 2017,0.362,0.9697678272
,,21,24 Apr 2017,0.4809,0.9698061583
,,24,25 Apr 2017,0.4397,0.9698178411
,,25,26 Apr 2017,0.4835,0.9698306879
,,26,27 Apr 2017,0.5996,0.9698466197
,,27,28 Apr 2017,0.3922,0.9698570409
,,28,02 May 2017,0.4526,0.9699051458
,May,2,03 May 2017,0.446,0.9699169972
,,3,04 May 2017,0.512,0.9699306026
,,4,05 May 2017,0.3957,0.9699411177
,,5,08 May 2017,0.469,0.969978507
,,8,09 May 2017,0.4946,0.9699916509
,,9,11 May 2017,0.4974,0.9700180878
,,11,12 May 2017,0.505,0.9700315086
,,12,15 May 2017,0.5746,0.9700773206
,,15,16 May 2017,0.5159,0.970091032
,,16,17 May 2017,0.7252,0.9701103062
,,17,18 May 2017,0.582,0.9701257748
,,18,19 May 2017,0.5199,0.9701395931
,,19,22 May 2017,0.5588,0.9701841504
,,22,23 May 2017,0.5613,0.97019907
,,23,24 May 2017,0.4187,0.9702101994
,,24,25 May 2017,0.4127,0.9702211694
,,25,26 May 2017,0.3323,0.9702300024
,,26,29 May 2017,0.4495,0.9702658478
,,29,30 May 2017,0.3589,0.9702753883
,,30,31 May 2017,0.4404,0.9702870954
,,31,01 Jun 2017,0.4503,0.9702990658
,Jun,1,02 Jun 2017,0.3647,0.9703087608
,,2,05 Jun 2017,0.5698,0.9703542031
,,5,06 Jun 2017,0.6237,0.9703707842
,,6,07 Jun 2017,0.711,0.9703896865
,,7,08 Jun 2017,0.8227,0.9704115588
,,8,09 Jun 2017,0.4644,0.9704239057
,,9,12 Jun 2017,0.2618,0.9704447871
,,12,13 Jun 2017,0.2335,0.9704509953
,,13,14 Jun 2017,0.0917,0.9704534334
,,14,15 Jun 2017,0.1126,0.9704564271
,,15,16 Jun 2017,0.1495,0.970460402
,,16,19 Jun 2017,0.1433,0.9704718322
,,19,20 Jun 2017,0.1576,0.9704760225
,,20,21 Jun 2017,0.1526,0.9704800799
,,21,22 Jun 2017,0.276,0.9704874183
,,22,23 Jun 2017,0.4513,0.9704994178
,,23,27 Jun 2017,1.1334,0.9706199618
,,27,28 Jun 2017,0.73,0.9706393742
,,28,29 Jun 2017,0.9212,0.9706638715
,,29,30 Jun 2017,1.1955,0.9706956641
,,30,03 Jul 2017,0.8239,0.9707613975
,Jul,3,04 Jul 2017,0.8275,0.9707834058
,,4,05 Jul 2017,1.214,0.9708156944
,,5,06 Jul 2017,1.2275,0.970848343
,,6,07 Jul 2017,0.9298,0.9708730744
,,7,10 Jul 2017,1.1808,0.9709672996
,,10,11 Jul 2017,1.1877,0.9709988946
,,11,12 Jul 2017,1.068,0.9710273063
,,12,13 Jul 2017,0.9984,0.9710538672
,,13,14 Jul 2017,0.5523,0.9710685607
,,14,17 Jul 2017,0.3909,0.97109976
,,17,18 Jul 2017,0.3072,0.9711079332
,,18,19 Jul 2017,0.2644,0.9711149677
,,19,20 Jul 2017,0.4248,0.9711262699
,,20,21 Jul 2017,0.5738,0.9711415365
,,21,24 Jul 2017,0.6979,0.9711972428
,,24,25 Jul 2017,0.7706,0.9712177471
,,25,26 Jul 2017,0.78,0.9712385018
,,26,27 Jul 2017,0.7354,0.9712580703
,,27,28 Jul 2017,0.5795,0.9712734907
,,28,31 Jul 2017,0.7337,0.9713320625
,,31,01 Aug 2017,0.986,0.9713583017
,Aug,1,02 Aug 2017,0.8904,0.9713819976
,,2,03 Aug 2017,0.9353,0.9714068889
,,3,04 Aug 2017,0.6009,0.9714228812
,,4,07 Aug 2017,0.6899,0.9714779649
,,7,08 Aug 2017,0.4968,0.9714911876
,,8,10 Aug 2017,0.4332,0.9715142479
,,10,11 Aug 2017,0.3925,0.971524695
,,11,14 Aug 2017,0.4601,0.9715614346
,,14,15 Aug 2017,0.6628,0.9715790771
,,15,16 Aug 2017,0.7048,0.9715978379
,,16,17 Aug 2017,0.7716,0.9716183772
,,17,18 Aug 2017,0.6699,0.9716362097
,,18,21 Aug 2017,0.8218,0.9717018391
,,21,22 Aug 2017,0.8527,0.9717245396
,,22,23 Aug 2017,0.9036,0.9717485958
,,23,24 Aug 2017,0.9766,0.9717745961
,,24,25 Aug 2017,1.0179,0.9718016966
,,25,28 Aug 2017,1.2455,0.9719011798
,,28,29 Aug 2017,1.137,0.9719314552
,,29,30 Aug 2017,0.5851,0.9719470354
,,30,31 Aug 2017,0.2874,0.9719546885
,,31,04 Sep 2017,0.5189,0.9720099594
,Sep,4,05 Sep 2017,0.8749,0.9720332583
,,5,06 Sep 2017,0.8973,0.9720571544
,,6,07 Sep 2017,0.7411,0.9720768911
,,7,08 Sep 2017,0.5901,0.9720926068
,,8,11 Sep 2017,0.7084,0.9721492066
,,11,12 Sep 2017,0.8189,0.9721710174
,,12,13 Sep 2017,0.7175,0.9721901278
,,13,14 Sep 2017,0.4524,0.9722021777
,,14,15 Sep 2017,0.3192,0.9722106798
,,15,18 Sep 2017,0.2772,0.9722328302
,,18,19 Sep 2017,0.5204,0.9722466918
,,19,20 Sep 2017,0.5091,0.9722602527
,,20,21 Sep 2017,0.6871,0.9722785551
,,21,22 Sep 2017,0.6471,0.9722957924
,,22,25 Sep 2017,0.7077,0.9723523481
,,25,26 Sep 2017,0.59,0.9723680656
,,26,27 Sep 2017,0.5617,0.9723830294
,,27,28 Sep 2017,0.6652,0.9724007507
,,28,29 Sep 2017,0.5562,0.9724155685
,,29,02 Oct 2017,0.5979,0.9724633554
,Oct,2,03 Oct 2017,0.5872,0.9724790001
,,3,04 Oct 2017,0.5746,0.9724943093
,,4,05 Oct 2017,0.3605,0.9725039144
,,5,06 Oct 2017,0.4652,0.9725163091
,,6,09 Oct 2017,0.6093,0.9725650122
,,9,10 Oct 2017,0.6312,0.9725818309
,,10,11 Oct 2017,0.5824,0.9725973496
,,11,12 Oct 2017,0.6725,0.9726152694
,,12,13 Oct 2017,0.6971,0.972633845
,,13,16 Oct 2017,0.6888,0.9726889094
,,16,17 Oct 2017,0.6978,0.9727075051
,,17,19 Oct 2017,0.6918,0.9727443773
,,19,20 Oct 2017,1.011,0.972771321
,,20,23 Oct 2017,1.3715,0.9728809777
,,23,24 Oct 2017,1.4066,0.9729184696
,,24,25 Oct 2017,1.2133,0.9729508105
,,25,26 Oct 2017,1.3334,0.9729863538
,,26,27 Oct 2017,1.1275,0.9730164098
,,27,30 Oct 2017,1.1225,0.9731061805
,,30,31 Oct 2017,1.1744,0.9731374905
,,31,01 Nov 2017,1.0968,0.9731667327
,Nov,1,02 Nov 2017,1.04,0.9731944612
,,2,03 Nov 2017,0.7605,0.9732147384
,,3,06 Nov 2017,0.8203,0.9732803544
,,6,07 Nov 2017,0.7117,0.973299332
,,7,08 Nov 2017,0.7264,0.973318702
,,8,09 Nov 2017,0.8014,0.9733400723
,,9,10 Nov 2017,0.8199,0.9733619365
,,10,13 Nov 2017,1.0026,0.9734421468
,,13,14 Nov 2017,0.6976,0.9734607516
,,14,15 Nov 2017,0.6693,0.9734786019
,,15,16 Nov 2017,0.5585,0.9734934975
,,16,17 Nov 2017,0.543,0.9735079799
,,17,20 Nov 2017,0.5547,0.9735523638
,,20,21 Nov 2017,0.49,0.9735654334
,,21,22 Nov 2017,0.2509,0.9735721257
,,22,23 Nov 2017,0.1709,0.9735766841
,,23,24 Nov 2017,0.3673,0.9735864813
,,24,27 Nov 2017,0.5353,0.9736293164
,,27,28 Nov 2017,0.6674,0.9736471191
,,28,29 Nov 2017,0.7853,0.9736680672
,,29,30 Nov 2017,1.1968,0.9736999929
,,30,01 Dec 2017,1.2592,0.9737335842
,Dec,1,04 Dec 2017,1.2101,0.973830432
,,4,05 Dec 2017,0.992,0.9738568988
,,5,06 Dec 2017,0.8293,0.9738790254
,,6,07 Dec 2017,0.7437,0.9738988685
,,7,08 Dec 2017,0.7247,0.9739182051
,,8,11 Dec 2017,0.782,0.9739808027
,,11,12 Dec 2017,0.8323,0.9740030121
,,12,13 Dec 2017,0.9218,0.9740276103
,,13,14 Dec 2017,0.8442,0.9740501384
,,14,15 Dec 2017,0.755,0.9740702866
,,15,18 Dec 2017,0.7399,0.9741295234
,,18,19 Dec 2017,0.8309,0.9741516988
,,19,20 Dec 2017,0.9375,0.9741767199
